tic,k,obs_R,ge_ref,ge_full,gate_ref,gate_full,gate_cur,n_cur,curtailed,t_full,t_cur,t_sealed,ge_sealed_live
100921427,13,0.6571441742328262,313,313,False,False,False,31,True,1.675058,0.05000800000000005,9.247133999999999,313.0
100975203,9,0.6909096156124621,293,293,False,False,False,23,True,1.618207,0.0362019999999994,9.358915999999999,293.0
100123131,33,0.32861094149241254,978,978,False,False,False,10,True,3.8997960000000003,0.038877999999999524,24.981825,978.0
100123854,8,0.6283351900569243,630,630,False,False,False,11,True,1.5985109999999985,0.018007000000000772,9.489308999999999,630.0
100990409,5,0.7709909296251236,348,348,False,False,False,35,True,1.5634540000000001,0.0533910000000013,9.010082000000004,348.0
101014057,12,0.5669634270133618,715,715,False,False,False,13,True,1.6662029999999959,0.020655000000004975,9.160567,715.0
100102303,32,0.33157192771227306,970,970,False,False,False,10,True,3.9559960000000003,0.03915299999999977,24.926084,970.0
100103683,26,0.3678020154460627,913,913,False,False,False,10,True,3.724893999999999,0.040172999999995795,24.812968000000005,913.0
100106368,28,0.4572651982692244,353,353,False,False,False,41,True,3.944297,0.1565380000000003,25.205636000000002,353.0
100107681,34,0.43799633232752244,168,168,False,False,False,58,True,4.047360000000001,0.2369160000000008,25.728747,168.0
100029948,28,0.9967491873524947,0,0,True,True,True,1000,False,3.150252,3.1107750000000003,24.881488,0.0
100067280,27,0.47055397624307005,228,228,False,False,False,31,True,3.884817999999999,0.11914999999999765,25.170675000000003,228.0
100100829,35,0.5497291993457553,6,6,True,True,True,1000,False,3.927167,3.839774000000001,25.418188,6.0
100101948,34,0.42421207823608365,380,380,False,False,False,22,True,3.888325000000002,0.08728399999999681,25.13854,380.0
101017159,12,0.5127945671787718,756,756,False,False,False,13,True,1.6391319999999965,0.023083999999997218,9.170312000000003,756.0
101017638,12,0.6768773030413139,164,164,False,False,False,94,True,1.6615249999999975,0.15436300000000358,9.327504000000005,164.0
101058021,8,0.6768521818429789,650,650,False,False,False,15,True,1.4787859999999995,0.024922000000003663,8.920456999999999,650.0
101070347,14,0.49147217502301066,832,832,False,False,False,12,True,1.6330129999999983,0.018693999999996436,9.605864999999994,832.0
101099031,4,0.9195059550318219,304,304,False,False,False,40,True,1.3977220000000017,0.056518000000004065,8.611366999999994,304.0
101100320,7,0.8846101375696442,99,99,False,False,False,75,True,1.4852810000000005,0.11126600000000053,9.285048000000003,99.0
101101390,14,0.51711158540584,771,771,False,False,False,13,True,1.6630579999999995,0.021370999999994922,9.326260999999995,771.0
101126095,10,0.6598549315757009,589,589,False,False,False,13,True,1.6193279999999959,0.02009799999999018,9.467742000000001,589.0
101139085,9,0.7865168076990889,162,162,False,False,False,35,True,1.5983330000000038,0.05783800000000383,9.443223999999994,162.0
101930558,16,0.44173840260103725,859,859,False,False,False,12,True,2.2546959999999956,0.026012000000008584,13.28750199999999,859.0
101933280,10,0.6880078489006378,618,618,False,False,False,15,True,1.8255339999999975,0.027358000000006655,12.518391000000008,618.0
101944261,11,0.6283358178997818,497,497,False,False,False,15,True,2.0264159999999976,0.03125699999999654,13.019407000000001,497.0
101932572,15,0.5256082442439971,399,399,False,False,False,26,True,2.2865210000000005,0.05893199999999865,13.289007000000012,399.0
101932654,19,0.42998870355827057,750,750,False,False,False,10,True,2.2907399999999996,0.025511999999991986,13.958860999999999,750.0
101948395,12,0.5290375674145482,730,730,False,False,False,10,True,2.2067359999999923,0.020683000000005336,13.228898999999998,730.0
101948780,15,0.47428076648896034,662,662,False,False,False,16,True,2.2861830000000083,0.03923600000000249,13.41494800000001,662.0
101949364,19,0.4669908820500219,732,732,False,False,False,18,True,2.2196969999999965,0.03822900000000118,13.159986000000004,732.0
101949836,11,0.712449602888999,121,121,False,False,False,56,True,2.197759999999988,0.12709300000000212,13.051353000000006,121.0
101963736,12,0.5955594814600425,197,197,False,False,False,66,True,2.2804880000000054,0.14624299999999835,13.380994000000001,197.0
101992165,17,0.560326256177954,243,243,False,False,False,40,True,2.3216560000000044,0.09029299999998841,13.375403000000006,243.0
10819194,7,0.6917943116576595,554,554,False,False,False,22,True,1.4922399999999953,0.03394299999999362,9.019097000000002,554.0
10838083,9,0.615854219146979,664,664,False,False,False,20,True,1.5823110000000042,0.03059400000000778,9.278458,664.0
102029678,18,0.38185391770943,979,979,False,False,False,10,True,2.2673350000000028,0.02301599999999837,14.248726000000005,979.0
102049230,14,0.6158303927029969,275,275,False,False,False,39,True,2.247330000000005,0.08544799999999952,13.282761999999991,275.0
111245072,13,0.6101443441167952,315,315,False,False,False,24,True,1.4722000000000008,0.03605300000000966,8.090059999999994,315.0
111267568,3,0.9918190008946336,147,147,False,False,False,68,True,1.4044369999999873,0.09416000000000224,8.662975000000003,147.0
102086414,25,0.38631092739577344,876,876,False,False,False,11,True,3.815211000000005,0.04021899999999334,25.175381,876.0
10802452,2,1.0,155,155,False,False,False,69,True,1.1222329999999943,0.08001800000000969,7.921560999999997,155.0
111269697,6,0.7873601322880631,400,400,False,False,False,30,True,1.391846000000001,0.04265800000000297,9.02215600000001,400.0
114750450,18,0.4613660800400683,758,758,False,False,False,19,True,2.276245000000003,0.0418860000000052,13.797234999999986,758.0
114750474,11,0.8625154679670021,61,61,False,False,False,128,True,2.15379200000001,0.2792400000000015,13.276381999999998,61.0
