tic,n_cadences,tau_recorded,tau_recomputed,tau_c,has_m1_row,n_events,baseline_days,obs_R,fap_A_0.05,Lb_A_0.05,fap_C_0.05,Lb_C_0.05,fap_A_0.1,Lb_A_0.1,fap_C_0.1,Lb_C_0.1,fap_A_0.2,Lb_A_0.2,fap_C_0.2,Lb_C_0.2
100029948,27523,,0.0583337828652474,0.0583337828652474,False,28,49.60428192617974,0.9967491873524948,0.0009990009990009,0.15,0.0009990009990009,0.1750013485957424,0.0009990009990009,0.3,0.0009990009990009,0.3,0.0009990009990009,0.6000000000000001,0.0009990009990009,0.6000000000000001
100067280,27619,,0.0083334022110648,0.0083334022110648,False,27,49.604315725505785,0.47055397624307,0.2217782217782218,0.15,0.2217782217782218,0.15,0.2187812187812187,0.3,0.2187812187812187,0.3,0.2287712287712287,0.6000000000000001,0.2287712287712287,0.6000000000000001
100100829,27529,,0.0083333884729199,0.0083333884729199,False,35,49.60423528880483,0.5497291993457553,0.0029970029970029,0.15,0.0029970029970029,0.15,0.0049950049950049,0.3,0.0049950049950049,0.3,0.0069930069930069,0.6000000000000001,0.0069930069930069,0.6000000000000001
100101948,27533,,0.0083333942939134,0.0083333942939134,False,34,49.60427103086977,0.4242120782360836,0.3986013986013986,0.15,0.3986013986013986,0.15,0.3956043956043956,0.3,0.3956043956043956,0.3,0.3806193806193806,0.6000000000000001,0.3806193806193806,0.6000000000000001
100102303,27492,,0.0083334108244343,0.0083334108244343,False,32,49.604358489975766,0.331571927712273,0.973026973026973,0.15,0.973026973026973,0.15,0.948051948051948,0.3,0.948051948051948,0.3,0.97002997002997,0.6000000000000001,0.97002997002997,0.6000000000000001
100103683,27528,0.008333373338246,0.008333373338246,0.008333373338246,True,26,49.60415549005984,0.3678020154460627,0.8201798201798202,0.15,0.8201798201798202,0.15,0.8741258741258742,0.3,0.8741258741258742,0.3,0.913086913086913,0.6000000000000001,0.913086913086913,0.6000000000000001
100106368,27555,,0.0083333982513522,0.0083333982513522,False,28,49.60429635050377,0.4572651982692244,0.3906093906093906,0.15,0.3906093906093906,0.15,0.3586413586413586,0.3,0.3586413586413586,0.3,0.3536463536463536,0.6000000000000001,0.3536463536463536,0.6000000000000001
100107681,27619,,0.008333397786373,0.008333397786373,False,34,49.60429849883212,0.4379963323275224,0.2107892107892107,0.15,0.2107892107892107,0.15,0.1738261738261738,0.3,0.1738261738261738,0.3,0.1688311688311688,0.6000000000000001,0.1688311688311688,0.6000000000000001
100123131,27491,,0.0083334003470554,0.0083334003470554,False,33,49.60430637153467,0.3286109414924125,0.985014985014985,0.15,0.985014985014985,0.15,0.986013986013986,0.3,0.986013986013986,0.3,0.978021978021978,0.6000000000000001,0.978021978021978,0.6000000000000001
100123854,11040,,0.0027777475461334,0.0027777475461334,False,8,17.77479447021551,0.6283351900569243,0.5324675324675324,0.15,0.5324675324675324,0.15,0.5574425574425574,0.3,0.5574425574425574,0.3,0.6303696303696303,0.6000000000000001,0.6303696303696303,0.6000000000000001
100921427,11181,,0.0027778162309459,0.0027778162309459,False,13,17.778016339190344,0.6571441742328262,0.3066933066933067,0.15,0.3066933066933067,0.15,0.3016983016983017,0.3,0.3016983016983017,0.3,0.3136863136863136,0.6000000000000001,0.3136863136863136,0.6000000000000001
100975203,11750,,0.0027778164640039,0.0027778164640039,False,9,17.778021537367295,0.6909096156124621,0.2947052947052947,0.15,0.2947052947052947,0.15,0.2697302697302697,0.3,0.2697302697302697,0.3,0.2937062937062937,0.6000000000000001,0.2937062937062937,0.6000000000000001
100990409,11256,,0.0027778218245657,0.0027778218245657,False,5,17.77805352736641,0.7709909296251236,0.2567432567432567,0.15,0.2567432567432567,0.15,0.3106893106893107,0.3,0.3106893106893107,0.3,0.3486513486513486,0.6000000000000001,0.3486513486513486,0.6000000000000001
101014057,11209,,0.0027778215860507,0.0027778215860507,False,12,17.778051104763563,0.5669634270133618,0.5624375624375625,0.15,0.5624375624375625,0.15,0.6343656343656343,0.3,0.6343656343656343,0.3,0.7152847152847153,0.6000000000000001,0.7152847152847153,0.6000000000000001
101017159,11152,,0.002777815532454,0.002777815532454,False,12,17.77801237711128,0.5127945671787718,0.7392607392607392,0.15,0.7392607392607392,0.15,0.7322677322677322,0.3,0.7322677322677322,0.3,0.7562437562437563,0.6000000000000001,0.7562437562437563,0.6000000000000001
101017638,11216,,0.0027778236815265,0.0027778236815265,False,12,17.778064471570815,0.6768773030413139,0.1418581418581418,0.15,0.1418581418581418,0.15,0.1468531468531468,0.3,0.1468531468531468,0.3,0.1648351648351648,0.6000000000000001,0.1648351648351648,0.6000000000000001
